identifier,A_total_imports,A_dangerous_imports_count,A_has_os_import,A_has_subprocess_import,A_has_socket_import,A_functions_defined,A_functions_called_count,A_dangerous_calls_count,A_unique_functions,A_function_density,A_file_operations_count,A_network_operations_count,A_process_spawning_count,A_code_execution_count,A_has_api_abuse,A_dynamic_types_count,A_type_confusion_risk,A_has_dynamic_operations,A_tainted_flows_count,A_sink_locations_count,A_has_tainted_sink,A_cyclomatic_complexity,A_max_nesting_depth,A_lines_of_code,A_complexity_per_line,B_avg_string_entropy,B_max_string_entropy,B_high_entropy_count,B_base64_count,B_hex_string_count,B_unicode_escape_count,B_encoded_payload_count,B_staged_execution_count,B_dynamic_import_count,B_runtime_code_gen_count,B_time_check_count,B_trigger_condition_count,B_obfuscation_method_count,B_has_identifier_obfuscation,B_anti_debug_count,B_anti_vm_count,B_env_check_count,B_total_obfuscation_score,B_total_evasion_score,B_total_logic_bomb_score,C_total_api_calls,C_unique_api_calls,C_max_call_depth,C_api_sequence_score,C_suspicious_sequence_count,C_has_suspicious_sequence,C_control_flow_complexity,C_max_nesting_depth,C_matched_signature_count,C_max_signature_confidence,C_file_and_network,C_crypto_and_network,C_persistence_behavior,C_data_exfil_behavior,C_total_behavioral_risk,label,source,package_name
aiohttp,133,4,True,False,True,232,831,3,298,0.04313871327631089,7,29,0,3,True,32,0,True,0,0,False,443,5,5378,0.0823726292301971,3.604431135752387,5.194729486133922,4,0,0,0,0,1,0,3,0,2,22,1,0,0,1,23,1,2,830,421,5,30.0,3,1,442,6,2,0.8,1,1,1,1,110,0,benign,aiohttp
alabaster,4,1,True,False,False,3,12,0,9,0.017341040462427744,0,1,0,0,False,1,0,True,0,0,False,3,2,173,0.017341040462427744,3.3554857224180386,4.4950228077023855,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,12,9,3,0.0,0,0,2,2,0,0.0,0,0,0,0,0,0,benign,alabaster
annotated-types,36,0,False,False,False,39,254,0,51,0.0493046776232617,0,0,0,0,False,25,0,True,0,0,False,33,4,791,0.041719342604298354,3.5709423729242324,4.294472789205118,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,254,62,4,0.0,0,0,32,4,0,0.0,0,0,0,0,0,0,benign,annotated-types
anyio,208,8,True,True,True,113,387,2,188,0.04366306027820711,7,12,4,2,True,22,1,True,0,0,False,153,5,2588,0.05911901081916538,3.603060903739967,4.389028762371006,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,2,0,384,242,3,10.0,1,1,152,7,0,0.0,1,0,1,1,50,0,benign,anyio
asgiref,54,1,True,False,False,61,291,0,133,0.03290183387270766,2,19,2,0,True,15,0,True,0,0,False,135,5,1854,0.07281553398058252,3.5378606947973226,4.66210051467677,2,0,0,0,0,1,0,0,1,1,9,1,0,0,1,10,1,2,290,173,3,200.0,20,1,134,5,0,0.0,1,0,1,1,240,0,benign,asgiref
asttokens,47,0,False,False,False,92,296,1,108,0.05778894472361809,0,4,0,1,False,45,0,True,0,0,False,117,5,1592,0.07349246231155779,3.4204616533673358,4.297699962736025,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,292,128,4,0.0,0,0,116,5,0,0.0,0,0,0,0,0,0,benign,asttokens
attrs,32,1,True,False,False,91,225,1,96,0.049429657794676805,0,3,0,1,False,19,0,True,0,0,False,87,2,1841,0.047256925583921784,3.6495147803899477,4.581027778277359,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,225,100,4,0.0,0,0,86,2,0,0.0,0,0,0,0,0,0,benign,attrs
autopep8,0,0,False,False,False,0,0,0,0,0.0,0,0,0,0,False,0,0,False,0,0,False,0,0,0,0.0,3.2190647417906217,5.1699250014423095,11,0,0,0,0,1,0,0,0,3,0,0,0,0,1,1,1,3,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,benign,autopep8
azure-identity,31,1,True,False,False,20,44,1,32,0.03241491085899514,0,1,0,1,False,0,0,False,0,0,False,10,2,617,0.01620745542949757,3.4573585245670544,4.83808948937662,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,44,32,2,0.0,0,0,9,3,2,0.6000000000000001,0,0,0,0,40,0,benign,azure-identity
azure-storage-blob,130,1,True,False,False,153,1073,2,212,0.01972412014954235,4,41,0,2,True,37,0,True,0,0,False,326,5,7757,0.042026556658501996,3.4535228197941428,4.677200488183559,4,0,0,0,0,0,2,0,0,1,6,1,0,0,0,6,0,1,1073,257,3,0.0,0,0,325,5,2,0.7,1,1,0,1,80,0,benign,azure-storage-blob
babel,78,6,True,True,False,310,1138,23,304,0.04475887958417557,4,74,0,23,True,84,1,True,0,0,False,483,19,6926,0.06973722206179613,3.4380601806808584,5.3219280948873635,6,0,0,0,0,0,0,23,2,2,2,1,0,0,0,2,0,4,1137,433,4,0.0,0,0,482,19,1,0.4,0,0,1,1,45,0,benign,babel
backcall,17,1,True,False,False,49,216,1,55,0.0384917517674784,0,7,0,1,True,27,1,True,0,0,False,123,6,1273,0.09662215239591516,3.5525870121999756,4.221928094887362,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,213,74,3,0.0,0,0,122,7,0,0.0,0,0,0,0,0,0,benign,backcall
bcrypt,7,0,False,False,False,33,99,0,18,0.054635761589403975,0,0,8,0,True,0,0,False,0,0,False,3,2,604,0.004966887417218543,3.8670888212650767,5.269146220500344,33,0,10,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,99,18,3,0.0,0,0,2,2,0,0.0,0,0,0,0,0,0,benign,bcrypt
beautifulsoup4,81,0,False,False,False,253,728,16,187,0.03777246939384891,3,6,0,16,True,94,0,True,0,0,False,410,7,6698,0.06121230217975515,3.5980643501397984,4.955869224267572,7,0,0,0,0,1,0,16,1,0,18,1,0,0,1,19,1,1,725,281,3,0.0,0,0,409,7,1,0.4,0,0,0,1,45,0,benign,beautifulsoup4
black,73,10,True,True,False,41,361,4,156,0.029475197699496764,24,13,17,4,True,6,0,True,0,0,False,95,4,1391,0.0682961897915169,3.6137505649317387,4.988758439731456,6,0,0,0,0,1,0,4,0,2,5,1,0,1,1,6,2,2,361,180,3,10.0,1,1,94,4,0,0.0,1,0,1,1,50,0,benign,black
bleach,39,1,True,False,False,113,534,9,161,0.032452613440551406,6,7,0,9,True,30,0,True,0,0,False,309,6,3482,0.08874210224009191,3.4920968296754116,4.700439718141092,5,0,0,0,0,1,0,9,0,0,12,1,0,0,0,13,0,0,534,239,4,0.0,0,0,308,7,2,0.4,0,0,0,1,65,0,benign,bleach
blinker,41,1,False,False,False,75,297,0,70,0.06038647342995169,0,65,0,0,True,2,0,True,0,0,False,43,3,1242,0.03462157809983897,3.5316101363741343,4.382568083276077,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,295,96,2,0.0,0,0,42,3,0,0.0,0,0,0,0,0,0,benign,blinker
boto3,42,5,True,False,True,57,186,2,123,0.03598484848484849,9,9,0,2,True,6,0,True,0,0,False,45,3,1584,0.028409090909090908,3.6766240339004637,4.509102105323984,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,185,136,3,0.0,0,0,44,3,1,0.4,0,0,0,0,20,0,benign,boto3
botocore,114,4,True,False,True,323,1117,2,392,0.048173005219985084,8,95,0,2,True,61,0,True,0,0,False,452,5,6705,0.0674123788217748,3.5330944745844652,6.087462841250345,10,0,0,0,0,1,0,2,1,3,39,1,0,0,0,40,0,4,1116,596,4,30.0,3,1,451,6,3,0.9000000000000001,1,1,1,1,130,0,benign,botocore
bottle,125,4,True,True,True,498,2346,12,429,0.08225966303270565,71,83,15,12,True,107,1,True,0,0,False,567,10,6054,0.09365708622398414,3.4696248367986495,4.595314279447134,3,0,0,0,0,1,2,10,1,2,41,1,0,0,1,42,1,3,2341,760,5,10.0,1,1,566,10,2,0.6000000000000001,1,1,1,1,90,0,benign,bottle
cachetools,33,0,False,False,False,223,1172,0,136,0.10178000912825194,5,66,0,0,True,14,0,True,0,0,False,109,5,2191,0.04974897307165678,3.708468202693361,4.292854743438331,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1139,183,4,0.0,0,0,108,5,0,0.0,0,0,0,0,0,0,benign,cachetools
celery,116,3,True,False,False,563,1709,9,505,0.07403997895844293,22,53,3,9,True,161,0,True,0,0,False,514,6,7604,0.06759600210415571,3.500504757998802,4.648349187730916,2,0,0,0,0,0,3,6,0,4,2,1,0,1,0,2,1,4,1696,732,5,0.0,0,0,513,6,0,0.0,1,1,1,1,40,0,benign,celery
certifi,10,0,False,False,False,5,30,0,21,0.029239766081871343,4,0,0,0,False,0,0,False,0,0,False,7,2,171,0.04093567251461988,3.6376117810515924,4.542682803033967,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,30,22,3,0.0,0,0,6,2,0,0.0,0,0,0,0,0,0,benign,certifi
charset-normalizer,66,4,True,False,False,142,883,0,148,0.028298126743722597,3,0,21,0,True,17,0,True,0,0,False,265,6,5018,0.05280988441610203,3.5830580878713523,8.9628960053372,10,0,0,0,0,1,0,0,0,0,8,1,0,0,0,9,0,0,883,189,5,0.0,0,0,264,6,0,0.0,0,0,0,1,25,0,benign,charset-normalizer
click,173,4,True,True,False,320,1091,0,312,0.04336630979807562,28,23,1,0,True,59,0,True,0,0,False,555,8,7379,0.0752134435560374,3.6986763605316444,4.519831022883674,3,0,0,0,0,1,0,0,0,1,5,1,0,0,0,6,0,1,1085,454,4,0.0,0,0,554,8,3,0.4,0,0,0,1,85,0,benign,click
colorama,42,1,True,False,False,122,506,2,131,0.08031599736668861,11,0,0,2,True,7,0,True,0,0,False,94,5,1519,0.06188281764318631,3.5881991891512772,4.481191519327632,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,1,0,1,506,150,4,0.0,0,0,93,5,0,0.0,0,0,0,0,0,0,benign,colorama
configparser,43,13,True,False,False,230,1826,10,191,0.0564140299239637,30,96,0,10,True,16,0,True,0,0,False,196,5,4077,0.04807456463085602,3.5404969045507118,4.694497832541551,4,0,0,0,0,0,0,10,0,0,2,1,0,0,1,2,1,0,1826,326,4,0.0,0,0,195,6,0,0.0,0,0,0,1,25,0,benign,configparser
contourpy,60,0,False,False,False,28,214,0,82,0.04,0,3,0,0,False,3,0,True,0,0,False,79,7,700,0.11285714285714285,3.6600118768615317,4.572176129195554,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,214,90,3,0.0,0,0,78,8,0,0.0,0,0,0,0,0,0,benign,contourpy
coverage,83,7,True,True,False,61,558,4,175,0.02389345867606737,29,16,3,4,True,6,1,True,0,0,False,196,6,2553,0.07677242459851155,3.6604549850360333,4.863749485074333,7,0,0,0,0,0,0,4,1,3,1,1,0,0,1,1,1,4,557,238,4,10.0,1,1,195,6,1,0.5,1,0,1,1,70,0,benign,coverage
cssselect,36,0,False,False,False,189,1039,10,135,0.04881198347107438,0,3,0,10,False,18,0,True,0,0,False,167,10,3872,0.0431301652892562,3.557120065167614,5.357509133144316,16,0,0,0,0,0,0,10,0,0,4,1,0,0,0,4,0,0,1039,185,4,0.0,0,0,166,10,0,0.0,0,0,0,0,0,0,benign,cssselect
cycler,7,0,False,False,False,30,114,0,35,0.052083333333333336,1,1,0,0,False,11,0,True,0,0,False,39,3,576,0.06770833333333333,3.926778723184465,4.3429789512274235,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,114,42,2,0.0,0,0,38,3,0,0.0,0,0,0,0,0,0,benign,cycler
decorator,28,0,False,False,False,161,599,3,131,0.04966070326958667,0,4,2,3,True,23,1,True,0,0,False,79,4,3242,0.024367674275138803,3.395290963711296,4.161953223919209,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,1,578,166,3,0.0,0,0,78,4,0,0.0,0,0,1,0,0,0,benign,decorator
defusedxml,65,2,True,True,False,109,429,1,120,0.07659873506676036,9,0,2,1,True,7,0,True,0,0,False,67,3,1423,0.04708362614195362,3.4650965158784435,4.694551758782525,5,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,429,153,3,0.0,0,0,66,3,0,0.0,0,0,1,0,0,0,benign,defusedxml
django,40,2,True,False,False,60,353,0,105,0.023483365949119372,0,3,0,0,False,33,0,True,0,0,False,107,4,2555,0.04187866927592955,3.387641274796649,4.71380025114243,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,352,131,2,0.0,0,0,106,5,2,0.6000000000000001,0,0,0,0,40,0,benign,django
docker,63,2,True,False,False,100,391,0,158,0.052994170641229466,10,15,0,0,True,16,0,True,0,0,False,166,6,1887,0.08797032326444092,3.7172105029232547,4.791635874011298,4,0,0,0,0,0,0,0,0,2,5,1,0,0,0,5,0,2,391,209,4,40.0,4,1,165,6,3,0.7,1,0,0,1,140,0,benign,docker
docutils,80,4,True,False,False,382,1165,7,304,0.04584733557369179,28,24,3,7,True,121,0,True,0,0,False,563,4,8332,0.06757081132981277,3.6689100513829374,4.594465636961453,2,0,0,0,0,1,0,7,0,2,17,1,0,0,1,18,1,2,1162,496,3,0.0,0,0,562,5,1,0.4,0,0,1,1,45,0,benign,docutils
dramatiq,82,4,True,False,False,124,469,1,182,0.04979919678714859,12,4,1,1,True,39,0,True,0,0,False,165,4,2490,0.06626506024096386,3.6877055579016846,4.59508767840253,2,0,0,0,0,0,0,1,0,2,6,1,0,0,1,6,1,2,466,247,4,20.0,2,1,164,7,0,0.0,1,0,1,1,60,0,benign,dramatiq
elasticsearch,105,2,True,False,False,138,362,0,86,0.028459476180655804,0,9,0,0,True,27,0,True,0,0,False,71,5,4849,0.014642194266859147,3.356807220114101,4.4280364358918565,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,2,0,2,360,94,3,0.0,0,0,70,6,1,0.4,1,0,0,0,35,0,benign,elasticsearch
exceptiongroup,52,2,True,False,False,58,276,0,83,0.0445468509984639,2,1,0,0,False,44,0,True,0,0,False,161,5,1302,0.12365591397849462,3.6538845380233296,4.555330863445171,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,276,104,4,0.0,0,0,160,5,0,0.0,0,0,0,0,0,0,benign,exceptiongroup
executing,69,0,False,False,False,82,649,2,169,0.03213166144200627,0,7,0,2,True,114,0,True,0,0,False,283,9,2552,0.11089341692789968,3.1906205814233948,4.789148671903072,1,0,0,0,0,0,0,2,0,0,1,1,0,0,1,1,1,0,649,191,3,10.0,1,1,282,9,0,0.0,0,0,0,0,10,0,benign,executing
fabric,57,4,True,False,True,97,388,1,165,0.03494236311239193,8,16,5,1,True,17,1,True,0,0,False,127,3,2776,0.0457492795389049,3.468964994800959,4.500369179406021,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,2,386,227,4,30.0,3,1,126,3,2,0.7,1,1,1,1,110,0,benign,fabric
fastapi,32,1,True,False,False,1,40,0,8,0.0034965034965034965,0,5,0,0,False,0,0,False,0,0,False,12,1,286,0.04195804195804196,3.3309949920979234,3.8848588918890474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,9,1,0.0,0,0,11,1,0,0.0,0,0,0,0,0,0,benign,fastapi
filelock,92,6,True,False,False,49,226,0,61,0.03485064011379801,4,1,0,0,False,0,0,False,0,0,False,57,3,1406,0.04054054054054054,3.7885870617664494,4.3196544508904715,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,2,226,76,2,10.0,1,1,56,4,0,0.0,0,0,1,0,10,0,benign,filelock
flake8,94,2,True,False,False,112,346,11,180,0.050473186119873815,5,2,2,11,True,16,0,True,0,0,False,151,7,2219,0.06804867057232988,3.7621379609088317,4.439710650151361,0,0,0,0,0,0,0,11,0,1,1,1,0,1,0,1,1,1,346,212,4,0.0,0,0,150,7,1,0.6000000000000001,0,0,1,0,20,0,benign,flake8
flask,37,0,False,False,False,26,97,0,52,0.06388206388206388,0,13,1,0,True,0,0,False,0,0,False,16,3,407,0.03931203931203931,3.607839066047046,4.512400646702278,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,97,61,3,10.0,1,1,15,3,0,0.0,1,1,0,1,50,0,benign,flask
fonttools,83,5,True,True,False,114,617,15,218,0.01343547436652917,21,8,1,15,True,20,0,True,0,0,False,285,26,8485,0.03358868591632292,3.5402819786418895,5.906890595608517,9,0,0,0,0,0,2,13,1,2,1,1,0,0,0,1,0,3,617,295,4,0.0,0,0,284,26,0,0.0,0,0,0,1,25,0,benign,fonttools
fsspec,92,7,True,True,False,136,770,3,252,0.03405960430753819,16,5,4,3,True,54,0,True,0,0,False,341,5,3993,0.08539944903581267,3.641984601988553,4.676466383271868,1,0,0,0,0,0,0,3,1,2,3,1,0,0,0,3,0,3,767,345,4,0.0,0,0,340,5,2,0.4,0,0,1,1,65,0,benign,fsspec
google-auth,71,3,True,False,False,164,429,2,134,0.04323754284207751,6,58,0,2,True,14,1,True,0,0,False,118,3,3793,0.0311099393619826,3.6811222784543367,4.870598259136084,4,0,0,0,0,1,0,2,0,2,9,1,0,0,0,10,0,2,429,181,4,10.0,1,1,117,3,2,0.6000000000000001,0,0,1,0,50,0,benign,google-auth
google-cloud-storage,175,2,True,False,False,378,1095,2,257,0.027209904981284193,18,129,0,2,True,19,1,True,0,0,False,386,6,13892,0.027785775986179095,3.59083021664976,4.7630543461722645,10,0,0,0,0,1,0,2,0,1,17,1,0,0,0,18,0,1,1095,386,5,20.0,2,1,385,6,2,0.7,1,1,1,1,100,0,benign,google-cloud-storage
html5lib,69,0,False,False,False,456,1684,15,241,0.048187678326112225,22,10,0,15,True,32,1,True,0,0,False,748,10,9463,0.07904470041213146,3.311953347724573,4.728196919071891,3,0,1,5,0,0,0,15,0,0,12,1,0,0,1,13,1,0,1683,359,3,0.0,0,0,747,10,0,0.0,0,0,1,1,25,0,benign,html5lib
httpx,124,3,True,False,False,281,1136,1,300,0.045550332306694766,19,24,0,1,True,97,0,True,0,0,False,398,7,6169,0.06451612903225806,3.6407622103296777,4.804562035482343,5,0,0,0,0,1,0,1,0,2,85,1,0,0,0,86,0,2,1135,449,3,80.0,8,1,397,7,3,0.8,1,1,0,1,180,0,benign,httpx
idna,24,0,False,False,False,137,542,2,163,0.009602579378986472,2,2,0,2,False,6,0,True,0,0,False,141,8,14267,0.009882946660124764,3.297882562499866,4.440223928941852,0,0,0,5,0,1,0,2,0,0,43,1,0,0,0,44,0,0,538,184,4,0.0,0,0,140,8,0,0.0,0,0,0,0,0,0,benign,idna
imageio,59,4,True,False,False,59,597,1,96,0.015662330767188745,10,2,0,1,True,9,0,True,0,0,False,80,6,3767,0.02123705866737457,3.650946828946501,4.782061078021725,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,597,115,5,0.0,0,0,79,6,0,0.0,1,0,0,0,15,0,benign,imageio
imagesize,23,4,True,False,False,49,368,0,39,0.0649867374005305,31,25,0,0,True,2,0,True,0,0,False,98,14,754,0.129973474801061,3.720233111617663,4.714599367600953,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,368,40,3,0.0,0,0,97,15,0,0.0,1,0,0,0,15,0,benign,imagesize
importlib-metadata,24,0,False,False,False,38,112,0,66,0.053824362606232294,0,0,1,0,False,6,0,True,0,0,False,30,5,706,0.042492917847025496,3.5881454024330366,4.694497832541551,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,111,71,4,0.0,0,0,29,5,0,0.0,0,0,0,0,0,0,benign,importlib-metadata
iniconfig,25,1,True,False,False,66,163,0,44,0.07415730337078652,4,10,0,0,True,0,0,False,0,0,False,38,5,890,0.04269662921348315,3.492938982645552,4.370907845552563,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,163,58,2,0.0,0,0,37,5,2,0.4,0,0,0,1,65,0,benign,iniconfig
ipython,60,6,True,True,False,49,357,10,138,0.03165374677002584,21,5,4,9,True,11,1,True,0,0,False,112,5,1548,0.07235142118863049,3.483020058434752,4.822821618674065,2,0,0,0,0,0,0,9,0,3,1,1,0,0,1,1,1,3,357,190,4,30.0,3,1,111,5,0,0.0,0,0,1,1,55,0,benign,ipython
isort,48,3,True,True,False,55,399,5,113,0.031482541499713794,37,1,1,4,True,1,0,True,0,0,False,180,16,1747,0.10303377218088151,3.7007467359715545,4.664319057082479,2,0,0,0,0,0,0,4,1,0,1,1,0,0,0,1,0,1,399,167,4,0.0,0,0,179,16,0,0.0,0,0,0,1,25,0,benign,isort
itsdangerous,89,0,False,False,False,66,185,0,76,0.05030487804878049,3,0,0,0,False,7,0,True,0,0,False,67,4,1312,0.051067073170731704,3.641490243512746,4.296580655376752,0,0,0,0,0,0,0,0,1,1,6,1,0,0,0,6,0,2,185,93,3,0.0,0,0,66,4,0,0.0,0,0,0,0,0,0,benign,itsdangerous
jedi,49,7,True,False,False,87,294,1,133,0.051816557474687316,11,2,5,1,True,16,0,True,0,0,False,124,6,1679,0.07385348421679572,3.5048496455423317,4.549761383184821,1,0,0,0,0,0,1,0,1,3,0,1,1,1,1,0,3,4,289,150,3,10.0,1,1,123,6,1,0.5,1,0,1,1,70,0,benign,jedi
jinja2,130,5,True,False,False,227,1178,8,297,0.048954065128315724,149,11,2,8,True,43,1,True,0,0,False,396,5,4637,0.08540004313133491,3.6949315409838324,4.646967661578215,7,0,0,0,0,0,0,8,0,1,5,1,0,0,1,5,1,1,1178,404,3,0.0,0,0,395,5,1,0.5,0,0,1,1,45,0,benign,jinja2
jmespath,33,0,False,False,False,183,494,1,153,0.10292463442069741,12,7,0,1,True,31,0,True,0,0,False,171,18,1778,0.09617547806524185,3.4825853470189347,4.489199419023813,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,494,183,3,0.0,0,0,170,18,0,0.0,0,0,0,0,0,0,benign,jmespath
joblib,65,8,True,False,False,93,371,1,151,0.0442225392296719,5,2,0,1,True,49,0,True,0,0,False,182,5,2103,0.0865430337612934,3.6259642962625014,4.736978884017096,3,0,0,0,0,0,0,1,0,1,3,1,0,0,1,3,1,1,371,173,4,0.0,0,0,181,5,0,0.0,0,0,1,0,0,0,benign,joblib
jsonschema,99,1,True,False,False,223,863,3,220,0.049423758865248225,10,21,18,3,True,49,0,True,0,0,False,360,6,4512,0.0797872340425532,3.492201543973525,4.515687168365667,1,0,0,0,0,0,0,3,0,0,2,1,0,0,0,2,0,0,852,299,4,0.0,0,0,359,6,0,0.0,1,1,0,1,40,0,benign,jsonschema
jupyter-client,104,5,True,False,True,150,644,7,228,0.043153049482163405,17,37,0,6,True,47,1,True,0,0,False,247,4,3476,0.07105868814729574,3.5031323523326634,4.613337314045308,1,0,0,0,0,0,0,6,1,2,5,1,0,0,0,5,0,3,644,323,3,40.0,4,1,246,5,2,0.7,1,0,1,1,120,0,benign,jupyter-client
jupyter-core,80,7,True,True,False,74,647,2,195,0.02853837254145777,16,25,1,1,True,8,0,True,0,0,False,225,6,2593,0.08677207867335134,3.643989710461207,5.046074725884669,18,0,0,0,0,0,1,0,0,4,1,1,0,0,1,1,1,4,647,258,4,0.0,0,0,224,6,0,0.0,0,0,1,1,25,0,benign,jupyter-core
jupyterlab-pygments,4,0,False,False,False,1,0,0,0,0.006289308176100629,0,0,0,0,False,0,0,False,0,0,False,2,0,159,0.012578616352201259,3.7788293286294703,4.1136085007312415,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,0,0,0,0,benign,jupyterlab-pygments
keras,186,0,False,False,False,0,0,0,0,0.0,0,0,0,0,False,0,0,False,0,0,False,1,0,333,0.003003003003003003,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,benign,keras
kiwisolver,28,0,False,False,False,37,486,0,48,0.02624113475177305,0,0,0,0,False,26,0,True,0,0,False,25,2,1410,0.01773049645390071,3.4804269817369993,4.192341514558439,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,486,93,4,0.0,0,0,24,2,0,0.0,0,0,0,0,0,0,benign,kiwisolver
kubernetes,844,2,True,False,False,124,799,0,131,0.017699115044247787,7,129,0,0,True,23,0,True,0,0,False,447,7,7006,0.06380245503853839,3.4783832448442364,4.38417095930969,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1,1,2,799,155,3,0.0,0,0,446,7,2,0.6000000000000001,0,0,0,1,65,0,benign,kubernetes
loguru,62,5,True,False,False,103,514,2,194,0.05312016503352243,11,0,0,2,True,22,0,True,0,0,False,252,10,1939,0.1299638989169675,3.3736773636782704,4.447353881126075,0,0,0,0,0,0,0,2,1,1,3,1,0,0,1,3,1,2,513,248,3,0.0,0,0,251,10,1,0.4,0,0,0,0,20,0,benign,loguru
lxml,30,1,True,False,False,98,419,3,150,0.0506198347107438,5,14,0,3,True,22,0,True,0,0,False,234,6,1936,0.12086776859504132,3.491205183796865,4.662016252639433,1,0,0,0,0,0,0,3,0,0,2,1,0,0,0,2,0,0,418,208,3,0.0,0,0,233,6,0,0.0,1,0,0,1,40,0,benign,lxml
markdown,65,1,True,False,False,173,992,40,226,0.0449467394128345,24,19,4,40,True,25,0,True,0,0,False,327,10,3849,0.08495713172252534,3.710306193027831,4.818821544896357,3,0,0,0,0,0,0,40,0,1,1,1,0,0,0,1,0,1,989,369,4,0.0,0,0,326,10,0,0.0,0,0,1,1,25,0,benign,markdown
markupsafe,53,1,True,False,False,101,351,0,100,0.10575916230366492,0,1,1,0,False,24,0,True,0,0,False,40,3,955,0.041884816753926704,3.6153551636456833,4.458014892280303,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,351,107,5,0.0,0,0,39,3,0,0.0,0,0,0,0,0,0,benign,markupsafe
marshmallow,62,0,False,False,False,164,586,0,160,0.04037419990152634,0,10,0,0,True,70,0,True,0,0,False,267,5,4062,0.06573116691285082,3.569697185045073,4.555933856417217,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,586,216,3,0.0,0,0,266,6,0,0.0,0,0,0,0,0,0,benign,marshmallow
matplotlib-inline,17,0,False,False,False,16,77,0,46,0.034782608695652174,1,0,0,0,False,3,0,True,0,0,False,30,2,460,0.06521739130434782,3.646469899751775,4.299466062710611,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,77,52,2,0.0,0,0,29,4,0,0.0,0,0,0,0,0,0,benign,matplotlib-inline
mistune,47,1,True,False,False,91,494,33,120,0.042823529411764705,6,5,0,33,True,2,0,True,0,0,False,206,7,2125,0.09694117647058824,3.411466847383233,4.784452331222564,5,0,0,0,0,0,0,33,1,0,1,1,0,0,1,1,1,1,494,202,3,0.0,0,0,205,7,0,0.0,0,0,0,0,0,0,benign,mistune
mock,66,3,True,True,False,355,1653,4,339,0.06816436251920123,23,16,84,4,True,142,1,True,0,0,False,418,6,5208,0.08026113671274962,3.485678561277719,4.56348994606772,2,0,0,0,0,0,2,2,0,1,1,1,0,0,1,1,1,1,1652,457,6,0.0,0,0,417,6,0,0.0,0,0,1,1,25,0,benign,mock
msgpack,31,2,True,False,False,104,500,0,98,0.06231276213301378,54,2,0,0,True,27,0,True,0,0,False,193,16,1669,0.11563810665068903,3.3281325892380536,4.298363967342999,0,0,10,0,0,0,0,0,1,3,2,1,0,0,0,12,0,4,500,117,3,0.0,0,0,192,16,0,0.0,0,0,0,0,0,0,benign,msgpack
mypy,77,5,True,True,False,66,454,0,144,0.031294452347083924,5,4,3,0,True,59,0,True,0,0,False,181,8,2109,0.0858226647700332,3.4597948697212706,4.533643863468258,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,454,186,3,0.0,0,0,180,8,0,0.0,0,0,1,0,0,0,benign,mypy
