identifier,A_total_imports,A_dangerous_imports_count,A_has_os_import,A_has_subprocess_import,A_has_socket_import,A_functions_defined,A_functions_called_count,A_dangerous_calls_count,A_unique_functions,A_function_density,A_file_operations_count,A_network_operations_count,A_process_spawning_count,A_code_execution_count,A_has_api_abuse,A_dynamic_types_count,A_type_confusion_risk,A_has_dynamic_operations,A_tainted_flows_count,A_sink_locations_count,A_has_tainted_sink,A_cyclomatic_complexity,A_max_nesting_depth,A_lines_of_code,A_complexity_per_line,B_avg_string_entropy,B_max_string_entropy,B_high_entropy_count,B_base64_count,B_hex_string_count,B_unicode_escape_count,B_encoded_payload_count,B_staged_execution_count,B_dynamic_import_count,B_runtime_code_gen_count,B_time_check_count,B_trigger_condition_count,B_obfuscation_method_count,B_has_identifier_obfuscation,B_anti_debug_count,B_anti_vm_count,B_env_check_count,B_total_obfuscation_score,B_total_evasion_score,B_total_logic_bomb_score,C_total_api_calls,C_unique_api_calls,C_max_call_depth,C_api_sequence_score,C_suspicious_sequence_count,C_has_suspicious_sequence,C_control_flow_complexity,C_max_nesting_depth,C_matched_signature_count,C_max_signature_confidence,C_file_and_network,C_crypto_and_network,C_persistence_behavior,C_data_exfil_behavior,C_total_behavioral_risk,label,source,package_name
django-server,3,1,True,False,False,1,4,0,3,0.027777777777777776,0,3,0,0,False,0,0,False,0,0,False,2,0,36,0.05555555555555555,3.5895442103367476,3.9873261452560076,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,3,1,20.0,2,1,1,1,0,0.0,0,0,0,0,20,1,malicious,django-server
django-web2-auth,2,2,False,True,True,1,1,0,1,0.03333333333333333,0,1,0,0,False,0,0,False,0,0,False,1,0,30,0.03333333333333333,3.738237059127188,3.75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,malicious,django-web2-auth
django-web3-aut,2,0,False,False,False,1,3,0,3,0.03125,0,0,0,0,False,0,0,False,0,0,False,1,0,32,0.03125,3.3269610597048995,3.7264741182543757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0.0,0,0,0,0,1,0.4,0,0,0,0,20,1,malicious,django-web3-aut
django-web4-auth,2,1,True,False,False,1,2,0,2,0.03125,0,0,0,0,False,0,0,False,0,0,False,2,1,32,0.0625,3.3436356575783037,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0.0,0,0,1,1,0,0.0,0,0,0,0,0,1,malicious,django-web4-auth
djangoo,2,0,False,False,False,1,4,0,4,0.03225806451612903,0,0,0,0,False,0,0,False,0,0,False,2,1,31,0.06451612903225806,3.7264741182543757,3.7264741182543757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0.0,0,0,1,1,1,0.4,0,0,0,0,20,1,malicious,djangoo
dlcsord,2,1,True,False,False,1,2,0,2,0.03125,0,0,0,0,False,0,0,False,0,0,False,2,1,32,0.0625,3.2081808767710718,3.7264741182543757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0.0,0,0,1,1,0,0.0,0,0,0,0,0,1,malicious,dlcsord
donotinstallthisistest5,2,0,False,False,False,0,3,2,3,0.0,0,0,0,2,False,0,1,False,0,0,False,1,0,29,0.034482758620689655,4.021674763209712,5.135185083865586,1,0,0,0,0,1,0,2,0,0,1,1,0,0,0,2,0,0,3,3,3,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,malicious,donotinstallthisistest5
donotinstallthisistest6,2,0,False,False,False,1,4,0,4,0.03225806451612903,0,0,0,0,False,0,0,False,0,0,False,2,1,31,0.06451612903225806,3.4649196028817753,3.7264741182543757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0.0,0,0,1,1,1,0.4,0,0,0,0,20,1,malicious,donotinstallthisistest6
dont-test-me,2,0,False,False,False,0,3,2,3,0.0,0,0,0,2,False,0,1,False,0,0,False,1,0,29,0.034482758620689655,3.9056825814424982,5.135185083865586,1,0,0,0,0,1,0,2,0,0,1,1,0,0,0,2,0,0,3,3,3,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,malicious,dont-test-me
dotencode,2,1,True,False,False,1,2,0,2,0.03125,0,0,0,0,False,0,0,False,0,0,False,2,1,32,0.0625,3.2081808767710718,3.7264741182543757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0.0,0,0,1,1,0,0.0,0,0,0,0,0,1,malicious,dotencode
