A_total_imports,A_dangerous_imports_count,A_has_os_import,A_has_subprocess_import,A_has_socket_import,A_functions_defined,A_functions_called_count,A_dangerous_calls_count,A_unique_functions,A_function_density,A_file_operations_count,A_network_operations_count,A_process_spawning_count,A_code_execution_count,A_has_api_abuse,A_dynamic_types_count,A_type_confusion_risk,A_has_dynamic_operations,A_tainted_flows_count,A_sink_locations_count,A_has_tainted_sink,A_cyclomatic_complexity,A_max_nesting_depth,A_lines_of_code,A_complexity_per_line,B_avg_string_entropy,B_max_string_entropy,B_high_entropy_count,B_base64_count,B_hex_string_count,B_unicode_escape_count,B_encoded_payload_count,B_staged_execution_count,B_dynamic_import_count,B_runtime_code_gen_count,B_time_check_count,B_trigger_condition_count,B_obfuscation_method_count,B_has_identifier_obfuscation,B_anti_debug_count,B_anti_vm_count,B_env_check_count,B_total_obfuscation_score,B_total_evasion_score,B_total_logic_bomb_score,C_total_api_calls,C_unique_api_calls,C_max_call_depth,C_api_sequence_score,C_suspicious_sequence_count,C_has_suspicious_sequence,C_control_flow_complexity,C_max_nesting_depth,C_file_and_network,C_crypto_and_network,C_persistence_behavior,C_data_exfil_behavior,identifier,source,package_name,label
5,1,True,False,False,1,10,0,5,0.0136986301369863,0,0,4,0,False,0,0,False,0,0,False,4,0,73,0.0547945205479452,3.873047895930295,4.755976365300631,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,5,2,0.0,0,0,3,1,0,0,0,0,builderknower-0.1.12_setup.py,malicious,builderknower-0.1.12,1
0,0,False,False,False,1,0,0,0,0.2,0,0,0,0,False,0,0,False,0,0,False,1,0,5,0.2,3.180832987205441,3.180832987205441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,builderknower2-0.1.30_module.py,malicious,builderknower2-0.1.30,1
5,1,True,False,False,1,20,0,7,0.010526315789473684,0,2,9,0,True,0,0,False,0,0,False,5,0,95,0.05263157894736842,3.7443610240308236,5.340075896029794,6,4,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,1,20,7,2,0.0,0,0,4,1,0,0,0,0,builderknower2-0.1.30_setup.py,malicious,builderknower2-0.1.30,1
5,1,True,False,False,3,38,0,24,0.06666666666666667,1,0,0,0,False,0,0,False,0,0,False,3,1,45,0.06666666666666667,3.9937020808322448,4.450212064914747,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,8,0,0,38,27,4,0.0,0,0,2,2,0,0,0,0,cipherbcrypt-1.4_Cipherbcrypt.py,malicious,cipherbcrypt-1.4,1
1,0,False,False,False,2,3,1,3,0.2,0,0,0,1,False,0,1,False,0,0,False,1,0,10,0.1,5.608540242250912,5.608540242250912,1,1,0,0,0,1,0,1,0,0,2,0,0,0,0,4,0,0,3,3,3,0.0,0,0,0,0,0,0,0,0,defca-3.0.0_arithmetics.py,malicious,defca-3.0.0,1
2,2,False,True,True,0,7,0,5,0.0,0,2,1,0,False,0,0,False,0,0,False,3,1,9,0.3333333333333333,4.44636198101505,5.608540242250912,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,7,5,2,0.0,0,0,2,1,1,0,0,0,defca-3.0.0_test.py,malicious,defca-3.0.0,1
1,0,False,False,False,0,2,0,2,0.0,0,0,0,0,False,0,0,False,0,0,False,1,0,12,0.08333333333333333,3.4385247471422695,4.093646146539447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0.0,0,0,0,0,0,0,0,0,discomusic-0.0.3_setup.py,malicious,discomusic-0.0.3,1
1,0,False,False,False,0,3,0,3,0.0,2,1,0,0,False,0,0,False,0,0,False,1,1,8,0.125,4.048430154877423,4.860933959125812,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0.0,0,0,0,1,1,0,0,0,discomusic-0.0.3___init__.py,malicious,discomusic-0.0.3,1
7,1,True,False,False,3,53,0,13,0.01910828025477707,18,1,2,0,True,0,0,False,0,0,False,26,2,157,0.16560509554140126,3.4293335138753283,4.260332600569877,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,53,14,2,190.0,19,1,25,4,1,0,0,1,fasdghjkhjafsd-0.0.3_setup.py,malicious,fasdghjkhjafsd-0.0.3,1
6,2,True,False,True,1,6,0,6,0.04,0,1,1,0,False,0,0,False,0,0,False,1,0,25,0.04,3.4675857649105266,3.6835423624332306,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,6,1,0.0,0,0,0,0,0,0,0,0,hexmanibm-1.0.4_setup.py,malicious,hexmanibm-1.0.4,1
6,2,True,False,True,1,6,0,6,0.04,0,1,1,0,False,0,0,False,0,0,False,1,0,25,0.04,3.2720156451471034,3.6424896731661263,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,6,1,0.0,0,0,0,0,0,0,0,0,hexteamibm-1.0.4_setup.py,malicious,hexteamibm-1.0.4,1
21,1,False,False,True,17,89,0,54,0.031598513011152414,0,1,0,0,False,16,0,True,0,0,False,39,3,538,0.0724907063197026,3.6803687335880726,4.367457658049051,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,89,59,2,0.0,0,0,38,4,1,0,0,0,httprequesthub-2.31.4_adapters.py,malicious,httprequesthub-2.31.4,1
0,0,False,False,False,8,10,0,3,0.05063291139240506,0,0,0,0,False,0,0,False,0,0,False,1,1,158,0.006329113924050633,3.124849479339363,3.5511911744656968,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,4,1,0.0,0,0,0,1,0,0,0,0,httprequesthub-2.31.4_api.py,malicious,httprequesthub-2.31.4,1
11,1,True,False,False,19,82,1,44,0.06031746031746032,0,5,0,1,False,14,0,True,0,0,False,31,5,315,0.09841269841269841,3.7738961223215277,4.400548255481788,0,0,0,0,0,0,0,1,0,0,10,1,0,0,0,10,0,0,82,49,4,0.0,0,0,30,5,1,1,0,1,httprequesthub-2.31.4_auth.py,malicious,httprequesthub-2.31.4,1
1,0,False,False,False,0,2,0,2,0.0,0,0,0,0,False,0,0,False,0,0,False,2,1,18,0.1111111111111111,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0.0,0,0,1,1,0,0,0,0,httprequesthub-2.31.4_certs.py,malicious,httprequesthub-2.31.4,1
4,0,False,False,False,1,1,0,1,0.041666666666666664,0,0,0,0,False,0,0,False,0,0,False,3,0,24,0.125,3.8606132976699414,3.994855709801042,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0.0,0,0,2,1,0,0,0,0,httprequesthub-2.31.4_compat.py,malicious,httprequesthub-2.31.4,1
8,0,False,False,False,5,18,0,16,0.0847457627118644,0,0,0,0,False,0,0,False,0,0,False,2,0,59,0.03389830508474576,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,17,2,0.0,0,0,1,1,1,0,0,0,httprequesthub-2.31.4_conftest.py,malicious,httprequesthub-2.31.4,1
7,0,False,False,False,49,112,0,52,0.08718861209964412,0,6,0,0,True,8,0,True,0,0,False,54,5,562,0.09608540925266904,3.677126817761272,4.449462721374186,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,112,69,2,0.0,0,0,53,5,0,0,0,0,httprequesthub-2.31.4_cookies.py,malicious,httprequesthub-2.31.4,1
2,0,False,False,False,2,7,0,4,0.014084507042253521,0,0,0,0,False,1,0,True,0,0,False,2,1,142,0.014084507042253521,3.83100714193024,4.294044975833125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,6,2,0.0,0,0,1,1,0,0,0,0,httprequesthub-2.31.4_exceptions.py,malicious,httprequesthub-2.31.4,1
11,0,False,False,False,3,15,0,12,0.022222222222222223,0,0,1,0,False,2,0,True,0,0,False,14,4,135,0.1037037037037037,3.368860704871215,4.296968017901888,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,15,12,3,0.0,0,0,13,4,0,0,0,0,httprequesthub-2.31.4_help.py,malicious,httprequesthub-2.31.4,1
0,0,False,False,False,2,3,0,3,0.058823529411764705,0,1,0,0,False,1,0,True,0,0,False,5,3,34,0.14705882352941177,3.948905215632511,3.948905215632511,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,1,0.0,0,0,4,3,0,0,0,0,httprequesthub-2.31.4_hooks.py,malicious,httprequesthub-2.31.4,1
23,0,False,False,False,44,181,0,95,0.04259438528557599,3,4,0,0,True,39,0,True,0,0,False,107,6,1033,0.10358180058083252,3.722153661450489,4.4546361507484775,0,0,0,0,0,1,0,0,0,0,11,1,0,0,0,12,0,0,181,111,2,0.0,0,0,106,6,0,0,0,0,httprequesthub-2.31.4_models.py,malicious,httprequesthub-2.31.4,1
4,0,False,False,False,0,8,1,6,0.0,0,0,0,1,False,0,0,False,0,0,False,7,3,29,0.2413793103448276,3.561561547322088,3.9361804341297555,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,6,1,0.0,0,0,6,3,0,0,0,0,httprequesthub-2.31.4_packages.py,malicious,httprequesthub-2.31.4,1
